,Resource,Subresource,Sub-Subresource,Method,Endpoint,Done ?
1,Root,,,GET,/,✗
2,Authorized Apps,,,POST,/authorized-apps,✗
3,Authorized Apps,,,GET,/authorized-apps,✗
4,Authorized Apps,,,GET,/authorized-apps/{app_id},✗
5,Automations,,,GET,/automations,✗
6,Automations,,,GET,/automations/{workflow_id},✗
7,Automations,,,POST,/automations/{workflow_id}/actions/pause-all-emails,✗
8,Automations,,,POST,/automations/{workflow_id}/actions/start-all-emails,✗
9,Automations,Emails,,GET,/automations/{workflow_id}/emails,✗
10,Automations,Emails,,GET,/automations/{workflow_id}/emails/{workflow_email_id},✗
11,Automations,Emails,,POST,/automations/{workflow_id}/emails/{workflow_email_id}/actions/pause,✗
12,Automations,Emails,,POST,/automations/{workflow_id}/emails/{workflow_email_id}/actions/start,✗
13,Automations,Emails,Queue,POST,/automations/{workflow_id}/emails/{workflow_email_id}/queue,✗
14,Automations,Emails,Queue,GET,/automations/{workflow_id}/emails/{workflow_email_id}/queue,✗
15,Automations,Emails,Queue,GET,/automations/{workflow_id}/emails/{workflow_email_id}/queue/{subscriber_hash},✗
16,Automations,Removed Subscribers,,POST,/automations/{workflow_id}/removed-subscribers,✗
17,Automations,Removed Subscribers,,GET,/automations/{workflow_id}/removed-subscribers,✗
18,Batch Operations,,,POST,/batches,✔
19,Batch Operations,,,GET,/batches,✔
20,Batch Operations,,,GET,/batches/{batch_id},✔
21,Batch Operations,,,DELETE,/batches/{batch_id},✔
22,Campaign Folders,,,POST,/campaign-folders,✗
23,Campaign Folders,,,GET,/campaign-folders,✗
24,Campaign Folders,,,GET,/campaign-folders/{folder_id},✗
25,Campaign Folders,,,PATCH,/campaign-folders/{folder_id},✗
26,Campaign Folders,,,DELETE,/campaign-folders/{folder_id},✗
27,Campaigns,,,POST,/campaigns,✗
28,Campaigns,,,GET,/campaigns,✗
29,Campaigns,,,GET,/campaigns/{campaign_id},✗
30,Campaigns,,,PATCH,/campaigns/{campaign_id},✗
31,Campaigns,,,DELETE,/campaigns/{campaign_id},✗
32,Campaigns,,,POST,/campaigns/{campaign_id}/actions/cancel-send,✗
33,Campaigns,,,POST,/campaigns/{campaign_id}/actions/pause,✗
34,Campaigns,,,POST,/campaigns/{campaign_id}/actions/replicate,✗
35,Campaigns,,,POST,/campaigns/{campaign_id}/actions/resume,✗
36,Campaigns,,,POST,/campaigns/{campaign_id}/actions/schedule,✗
37,Campaigns,,,POST,/campaigns/{campaign_id}/actions/send,✗
38,Campaigns,,,POST,/campaigns/{campaign_id}/actions/test,✗
39,Campaigns,,,POST,/campaigns/{campaign_id}/actions/unschedule,✗
40,Campaigns,Content,,GET,/campaigns/{campaign_id}/content,✗
41,Campaigns,Content,,PUT,/campaigns/{campaign_id}/content,✗
42,Campaigns,Feedback,,POST,/campaigns/{campaign_id}/feedback,✗
43,Campaigns,Feedback,,GET,/campaigns/{campaign_id}/feedback,✗
44,Campaigns,Feedback,,GET,/campaigns/{campaign_id}/feedback/{feedback_id},✗
45,Campaigns,Feedback,,PATCH,/campaigns/{campaign_id}/feedback/{feedback_id},✗
46,Campaigns,Feedback,,DELETE,/campaigns/{campaign_id}/feedback/{feedback_id},✗
47,Campaigns,Send Checklist,,GET,/campaigns/{campaign_id}/send-checklist,✗
48,Conversations,,,GET,/conversations,✗
49,Conversations,,,GET,/conversations/{conversation_id},✗
50,Conversations,Messages,,POST,/conversations/{conversation_id}/messages,✗
51,Conversations,Messages,,GET,/conversations/{conversation_id}/messages,✗
52,Conversations,Messages,,GET,/conversations/{conversation_id}/messages/{message_id},✗
53,E-commerce Stores,,,POST,/ecommerce/stores,✗
54,E-commerce Stores,,,GET,/ecommerce/stores,✗
55,E-commerce Stores,,,GET,/ecommerce/stores/{store_id},✗
56,E-commerce Stores,,,PATCH,/ecommerce/stores/{store_id},✗
57,E-commerce Stores,,,DELETE,/ecommerce/stores/{store_id},✗
58,E-commerce Stores,Carts,,POST,/ecommerce/stores/{store_id}/carts,✗
59,E-commerce Stores,Carts,,GET,/ecommerce/stores/{store_id}/carts,✗
60,E-commerce Stores,Carts,,GET,/ecommerce/stores/{store_id}/carts/{cart_id},✗
61,E-commerce Stores,Carts,,PATCH,/ecommerce/stores/{store_id}/carts/{cart_id},✗
62,E-commerce Stores,Carts,,DELETE,/ecommerce/stores/{store_id}/carts/{cart_id},✗
63,E-commerce Stores,Carts,Cart Lines,POST,/ecommerce/stores/{store_id}/carts/{cart_id}/lines,✗
64,E-commerce Stores,Carts,Cart Lines,GET,/ecommerce/stores/{store_id}/carts/{cart_id}/lines,✗
65,E-commerce Stores,Carts,Cart Lines,GET,/ecommerce/stores/{store_id}/carts/{cart_id}/lines/{line_id},✗
66,E-commerce Stores,Carts,Cart Lines,PATCH,/ecommerce/stores/{store_id}/carts/{cart_id}/lines/{line_id},✗
67,E-commerce Stores,Carts,Cart Lines,DELETE,/ecommerce/stores/{store_id}/carts/{cart_id}/lines/{line_id},✗
68,E-commerce Stores,Customers,,POST,/ecommerce/stores/{store_id}/customers,✗
